POLYGON ((-179.9999 -89.9999,-179.9999 -0.0,0 0,-0.0 -89.9999,-179.9999 -89.9999))
POLYGON ((7.382808398437498 50.27338164062499,7.382808398437498 50.361272167968743,7.558589550781248 50.361272167968743,7.558589550781248 50.27338164062499,7.382808398437498 50.27338164062499))
POLYGON ((7.558589550781248 50.27338164062499,7.558589550781248 50.361272167968743,7.734370703124998 50.361272167968743,7.734370703124998 50.27338164062499,7.558589550781248 50.27338164062499))
POLYGON ((7.382808398437498 50.361272167968743,7.382808398437498 50.449162695312495,7.558589550781248 50.449162695312495,7.558589550781248 50.361272167968743,7.382808398437498 50.361272167968743))
POLYGON ((7.558589550781248 50.361272167968743,7.558589550781248 50.449162695312495,7.734370703124998 50.449162695312495,7.734370703124998 50.361272167968743,7.558589550781248 50.361272167968743))
POLYGON ((7.031246093749998 50.449162695312495,7.031246093749998 50.62494375,7.382808398437498 50.62494375,7.382808398437498 50.449162695312495,7.031246093749998 50.449162695312495))
POLYGON ((7.382808398437498 50.449162695312495,7.382808398437498 50.62494375,7.734370703124998 50.62494375,7.734370703124998 50.449162695312495,7.382808398437498 50.449162695312495))
POLYGON ((7.734370703124998 50.27338164062499,7.734370703124998 50.449162695312495,8.085933007812498 50.449162695312495,8.085933007812498 50.27338164062499,7.734370703124998 50.27338164062499))
POLYGON ((8.085933007812498 50.27338164062499,8.085933007812498 50.449162695312495,8.437495312499998 50.449162695312495,8.437495312499998 50.27338164062499,8.085933007812498 50.27338164062499))
POLYGON ((7.734370703124998 50.449162695312495,7.734370703124998 50.62494375,8.085933007812498 50.62494375,8.085933007812498 50.449162695312495,7.734370703124998 50.449162695312495))
POLYGON ((8.085933007812498 50.449162695312495,8.085933007812498 50.62494375,8.437495312499998 50.62494375,8.437495312499998 50.449162695312495,8.085933007812498 50.449162695312495))
POLYGON ((8.437495312499998 49.218695312499989,8.437495312499998 49.39447636718748,8.789057617187497 49.39447636718748,8.789057617187497 49.218695312499989,8.437495312499998 49.218695312499989))
POLYGON ((8.789057617187497 49.218695312499989,8.789057617187497 49.39447636718748,9.140619921874997 49.39447636718748,9.140619921874997 49.218695312499989,8.789057617187497 49.218695312499989))
POLYGON ((8.437495312499998 49.39447636718748,8.437495312499998 49.482366894531225,8.613276464843747 49.482366894531225,8.613276464843747 49.39447636718748,8.437495312499998 49.39447636718748))
POLYGON ((8.613276464843747 49.39447636718748,8.613276464843747 49.482366894531225,8.789057617187497 49.482366894531225,8.789057617187497 49.39447636718748,8.613276464843747 49.39447636718748))
POLYGON ((8.437495312499998 49.482366894531225,8.437495312499998 49.570257421874977,8.613276464843747 49.570257421874977,8.613276464843747 49.482366894531225,8.437495312499998 49.482366894531225))
POLYGON ((8.613276464843747 49.482366894531225,8.613276464843747 49.570257421874977,8.789057617187497 49.570257421874977,8.789057617187497 49.482366894531225,8.613276464843747 49.482366894531225))
POLYGON ((8.789057617187497 49.39447636718748,8.789057617187497 49.570257421874977,9.140619921874997 49.570257421874977,9.140619921874997 49.39447636718748,8.789057617187497 49.39447636718748))
POLYGON ((9.140619921874997 49.218695312499989,9.140619921874997 49.394476367187472,9.492182226562496 49.394476367187472,9.492182226562496 49.218695312499989,9.140619921874997 49.218695312499989))
POLYGON ((9.492182226562496 49.218695312499989,9.492182226562496 49.394476367187472,9.843744531249998 49.394476367187472,9.843744531249998 49.218695312499989,9.492182226562496 49.218695312499989))
POLYGON ((9.140619921874997 49.394476367187472,9.140619921874997 49.570257421874977,9.492182226562496 49.570257421874977,9.492182226562496 49.394476367187472,9.140619921874997 49.394476367187472))
POLYGON ((9.492182226562496 49.394476367187472,9.492182226562496 49.570257421874977,9.843744531249998 49.570257421874977,9.843744531249998 49.394476367187472,9.492182226562496 49.394476367187472))
POLYGON ((8.437495312499998 49.570257421874977,8.437495312499998 49.746038476562482,8.789057617187497 49.746038476562482,8.789057617187497 49.570257421874977,8.437495312499998 49.570257421874977))
POLYGON ((8.789057617187497 49.570257421874977,8.789057617187497 49.746038476562482,9.140619921874997 49.746038476562482,9.140619921874997 49.570257421874977,8.789057617187497 49.570257421874977))
POLYGON ((8.437495312499998 49.746038476562482,8.437495312499998 49.921819531249987,8.789057617187497 49.921819531249987,8.789057617187497 49.746038476562482,8.437495312499998 49.746038476562482))
POLYGON ((8.789057617187497 49.746038476562482,8.789057617187497 49.921819531249987,9.140619921874997 49.921819531249987,9.140619921874997 49.746038476562482,8.789057617187497 49.746038476562482))
POLYGON ((9.140619921874997 49.570257421874977,9.140619921874997 49.746038476562482,9.492182226562498 49.746038476562482,9.492182226562498 49.570257421874977,9.140619921874997 49.570257421874977))
POLYGON ((9.492182226562498 49.570257421874977,9.492182226562498 49.746038476562482,9.843744531249998 49.746038476562482,9.843744531249998 49.570257421874977,9.492182226562498 49.570257421874977))
POLYGON ((9.140619921874997 49.746038476562482,9.140619921874997 49.921819531249987,9.492182226562498 49.921819531249987,9.492182226562498 49.746038476562482,9.140619921874997 49.746038476562482))
POLYGON ((9.492182226562498 49.746038476562482,9.492182226562498 49.921819531249987,9.843744531249998 49.921819531249987,9.843744531249998 49.746038476562482,9.492182226562498 49.746038476562482))
POLYGON ((9.843744531249998 49.218695312499989,9.843744531249998 49.394476367187472,10.195306835937497 49.394476367187472,10.195306835937497 49.218695312499989,9.843744531249998 49.218695312499989))
POLYGON ((10.195306835937497 49.218695312499989,10.195306835937497 49.394476367187472,10.546869140624999 49.394476367187472,10.546869140624999 49.218695312499989,10.195306835937497 49.218695312499989))
POLYGON ((9.843744531249998 49.394476367187472,9.843744531249998 49.570257421874977,10.195306835937497 49.570257421874977,10.195306835937497 49.394476367187472,9.843744531249998 49.394476367187472))
POLYGON ((10.195306835937497 49.394476367187472,10.195306835937497 49.570257421874977,10.546869140624999 49.570257421874977,10.546869140624999 49.394476367187472,10.195306835937497 49.394476367187472))
POLYGON ((10.546869140624999 49.218695312499989,10.546869140624999 49.39447636718748,10.898431445312498 49.39447636718748,10.898431445312498 49.218695312499989,10.546869140624999 49.218695312499989))
POLYGON ((10.898431445312498 49.218695312499989,10.898431445312498 49.39447636718748,11.24999375 49.39447636718748,11.24999375 49.218695312499989,10.898431445312498 49.218695312499989))
POLYGON ((10.546869140624999 49.39447636718748,10.546869140624999 49.570257421874977,10.898431445312498 49.570257421874977,10.898431445312498 49.39447636718748,10.546869140624999 49.39447636718748))
POLYGON ((10.898431445312498 49.39447636718748,10.898431445312498 49.482366894531225,11.074212597656247 49.482366894531225,11.074212597656247 49.39447636718748,10.898431445312498 49.39447636718748))
POLYGON ((11.074212597656247 49.39447636718748,11.074212597656247 49.482366894531225,11.24999375 49.482366894531225,11.24999375 49.39447636718748,11.074212597656247 49.39447636718748))
POLYGON ((10.898431445312498 49.482366894531225,10.898431445312498 49.570257421874977,11.074212597656247 49.570257421874977,11.074212597656247 49.482366894531225,10.898431445312498 49.482366894531225))
POLYGON ((11.074212597656247 49.482366894531225,11.074212597656247 49.570257421874977,11.24999375 49.570257421874977,11.24999375 49.482366894531225,11.074212597656247 49.482366894531225))
POLYGON ((9.843744531249998 49.570257421874977,9.843744531249998 49.746038476562482,10.195306835937497 49.746038476562482,10.195306835937497 49.570257421874977,9.843744531249998 49.570257421874977))
POLYGON ((10.195306835937497 49.570257421874977,10.195306835937497 49.746038476562482,10.546869140624999 49.746038476562482,10.546869140624999 49.570257421874977,10.195306835937497 49.570257421874977))
POLYGON ((9.843744531249998 49.746038476562482,9.843744531249998 49.833929003906235,10.019525683593749 49.833929003906235,10.019525683593749 49.746038476562482,9.843744531249998 49.746038476562482))
POLYGON ((10.019525683593749 49.746038476562482,10.019525683593749 49.833929003906235,10.195306835937497 49.833929003906235,10.195306835937497 49.746038476562482,10.019525683593749 49.746038476562482))
POLYGON ((9.843744531249998 49.833929003906235,9.843744531249998 49.921819531249987,10.019525683593749 49.921819531249987,10.019525683593749 49.833929003906235,9.843744531249998 49.833929003906235))
POLYGON ((10.019525683593749 49.833929003906235,10.019525683593749 49.921819531249987,10.195306835937497 49.921819531249987,10.195306835937497 49.833929003906235,10.019525683593749 49.833929003906235))
POLYGON ((10.195306835937497 49.746038476562482,10.195306835937497 49.921819531249987,10.546869140624999 49.921819531249987,10.546869140624999 49.746038476562482,10.195306835937497 49.746038476562482))
POLYGON ((10.546869140624999 49.570257421874977,10.546869140624999 49.746038476562482,10.898431445312498 49.746038476562482,10.898431445312498 49.570257421874977,10.546869140624999 49.570257421874977))
POLYGON ((10.898431445312498 49.570257421874977,10.898431445312498 49.746038476562482,11.24999375 49.746038476562482,11.24999375 49.570257421874977,10.898431445312498 49.570257421874977))
POLYGON ((10.546869140624999 49.746038476562482,10.546869140624999 49.921819531249987,10.898431445312498 49.921819531249987,10.898431445312498 49.746038476562482,10.546869140624999 49.746038476562482))
POLYGON ((10.898431445312498 49.746038476562482,10.898431445312498 49.921819531249987,11.24999375 49.921819531249987,11.24999375 49.746038476562482,10.898431445312498 49.746038476562482))
POLYGON ((8.437495312499998 49.921819531249987,8.437495312499998 50.097600585937485,8.789057617187497 50.097600585937485,8.789057617187497 49.921819531249987,8.437495312499998 49.921819531249987))
POLYGON ((8.789057617187497 49.921819531249987,8.789057617187497 50.097600585937485,9.140619921874997 50.097600585937485,9.140619921874997 49.921819531249987,8.789057617187497 49.921819531249987))
POLYGON ((8.437495312499998 50.097600585937485,8.437495312499998 50.185491113281238,8.613276464843745 50.185491113281238,8.613276464843745 50.097600585937485,8.437495312499998 50.097600585937485))
POLYGON ((8.613276464843745 50.097600585937485,8.613276464843745 50.119573217773421,8.657221752929683 50.119573217773421,8.657221752929683 50.097600585937485,8.613276464843745 50.097600585937485))
