POLYGON ((-179.9999 -89.9999,-179.9999 -0.0,0 0,-0.0 -89.9999,-179.9999 -89.9999))
POLYGON ((-2.28515498046875 52.997987988281253,-2.28515498046875 53.041933251953132,-2.197264404296875 53.041933251953132,-2.197264404296875 52.997987988281253,-2.28515498046875 52.997987988281253))
POLYGON ((-2.197264404296875 52.997987988281253,-2.197264404296875 53.041933251953132,-2.109373828125 53.041933251953132,-2.109373828125 52.997987988281253,-2.197264404296875 52.997987988281253))
POLYGON ((-2.28515498046875 53.041933251953132,-2.28515498046875 53.085878515625005,-2.197264404296875 53.085878515625005,-2.197264404296875 53.041933251953132,-2.28515498046875 53.041933251953132))
POLYGON ((-2.197264404296875 53.041933251953132,-2.197264404296875 53.085878515625005,-2.109373828125 53.085878515625005,-2.109373828125 53.041933251953132,-2.197264404296875 53.041933251953132))
POLYGON ((-2.109373828125 52.734316406249995,-2.109373828125 52.9100974609375,-1.7578115234375 52.9100974609375,-1.7578115234375 52.734316406249995,-2.109373828125 52.734316406249995))
POLYGON ((-1.7578115234375 52.734316406249995,-1.7578115234375 52.822206933593755,-1.58203037109375 52.822206933593755,-1.58203037109375 52.734316406249995,-1.7578115234375 52.734316406249995))
POLYGON ((-1.58203037109375 52.734316406249995,-1.58203037109375 52.822206933593755,-1.40624921875 52.822206933593755,-1.40624921875 52.734316406249995,-1.58203037109375 52.734316406249995))
POLYGON ((-1.7578115234375 52.822206933593755,-1.7578115234375 52.9100974609375,-1.58203037109375 52.9100974609375,-1.58203037109375 52.822206933593755,-1.7578115234375 52.822206933593755))
POLYGON ((-1.58203037109375 52.822206933593755,-1.58203037109375 52.9100974609375,-1.40624921875 52.9100974609375,-1.40624921875 52.822206933593755,-1.58203037109375 52.822206933593755))
POLYGON ((-2.109373828125 52.9100974609375,-2.109373828125 53.085878515625005,-1.7578115234375 53.085878515625005,-1.7578115234375 52.9100974609375,-2.109373828125 52.9100974609375))
POLYGON ((-1.7578115234375 52.9100974609375,-1.7578115234375 53.085878515625005,-1.40624921875 53.085878515625005,-1.40624921875 52.9100974609375,-1.7578115234375 52.9100974609375))
POLYGON ((-2.8124984375 53.085878515625005,-2.8124984375 53.261659570312503,-2.460936132812499 53.261659570312503,-2.460936132812499 53.085878515625005,-2.8124984375 53.085878515625005))
POLYGON ((-2.460936132812499 53.085878515625005,-2.460936132812499 53.261659570312503,-2.109373828125 53.261659570312503,-2.109373828125 53.085878515625005,-2.460936132812499 53.085878515625005))
POLYGON ((-2.8124984375 53.261659570312503,-2.8124984375 53.349550097656255,-2.636717285156249 53.349550097656255,-2.636717285156249 53.261659570312503,-2.8124984375 53.261659570312503))
POLYGON ((-2.636717285156249 53.261659570312503,-2.636717285156249 53.349550097656255,-2.460936132812499 53.349550097656255,-2.460936132812499 53.261659570312503,-2.636717285156249 53.261659570312503))
POLYGON ((-2.8124984375 53.349550097656255,-2.8124984375 53.43744062499999,-2.636717285156249 53.43744062499999,-2.636717285156249 53.349550097656255,-2.8124984375 53.349550097656255))
POLYGON ((-2.636717285156249 53.349550097656255,-2.636717285156249 53.393495361328114,-2.548826708984374 53.393495361328114,-2.548826708984374 53.349550097656255,-2.636717285156249 53.349550097656255))
POLYGON ((-2.548826708984374 53.349550097656255,-2.548826708984374 53.393495361328114,-2.460936132812499 53.393495361328114,-2.460936132812499 53.349550097656255,-2.548826708984374 53.349550097656255))
POLYGON ((-2.636717285156249 53.393495361328114,-2.636717285156249 53.43744062499999,-2.548826708984374 53.43744062499999,-2.548826708984374 53.393495361328114,-2.636717285156249 53.393495361328114))
POLYGON ((-2.548826708984374 53.393495361328114,-2.548826708984374 53.43744062499999,-2.460936132812499 53.43744062499999,-2.460936132812499 53.393495361328114,-2.548826708984374 53.393495361328114))
POLYGON ((-2.460936132812499 53.261659570312503,-2.460936132812499 53.43744062499999,-2.109373828125 53.43744062499999,-2.109373828125 53.261659570312503,-2.460936132812499 53.261659570312503))
POLYGON ((-2.109373828125 53.085878515625005,-2.109373828125 53.261659570312496,-1.7578115234375 53.261659570312496,-1.7578115234375 53.085878515625005,-2.109373828125 53.085878515625005))
POLYGON ((-1.7578115234375 53.085878515625005,-1.7578115234375 53.261659570312496,-1.40624921875 53.261659570312496,-1.40624921875 53.085878515625005,-1.7578115234375 53.085878515625005))
POLYGON ((-2.109373828125 53.261659570312496,-2.109373828125 53.43744062499999,-1.7578115234375 53.43744062499999,-1.7578115234375 53.261659570312496,-2.109373828125 53.261659570312496))
POLYGON ((-1.7578115234375 53.261659570312496,-1.7578115234375 53.349550097656255,-1.58203037109375 53.349550097656255,-1.58203037109375 53.261659570312496,-1.7578115234375 53.261659570312496))
POLYGON ((-1.58203037109375 53.261659570312496,-1.58203037109375 53.349550097656255,-1.40624921875 53.349550097656255,-1.40624921875 53.261659570312496,-1.58203037109375 53.261659570312496))
POLYGON ((-1.7578115234375 53.349550097656255,-1.7578115234375 53.43744062499999,-1.58203037109375 53.43744062499999,-1.58203037109375 53.349550097656255,-1.7578115234375 53.349550097656255))
POLYGON ((-1.58203037109375 53.349550097656255,-1.58203037109375 53.393495361328121,-1.494139794921875 53.393495361328121,-1.494139794921875 53.349550097656255,-1.58203037109375 53.349550097656255))
POLYGON ((-1.494139794921875 53.349550097656255,-1.494139794921875 53.371522729492185,-1.450194506835937 53.371522729492185,-1.450194506835937 53.349550097656255,-1.494139794921875 53.349550097656255))
POLYGON ((-1.450194506835937 53.349550097656255,-1.450194506835937 53.371522729492185,-1.40624921875 53.371522729492185,-1.40624921875 53.349550097656255,-1.450194506835937 53.349550097656255))
POLYGON ((-1.494139794921875 53.371522729492185,-1.494139794921875 53.393495361328121,-1.450194506835937 53.393495361328121,-1.450194506835937 53.371522729492185,-1.494139794921875 53.371522729492185))
POLYGON ((-1.450194506835937 53.371522729492185,-1.450194506835937 53.393495361328121,-1.40624921875 53.393495361328121,-1.40624921875 53.371522729492185,-1.450194506835937 53.371522729492185))
POLYGON ((-1.58203037109375 53.393495361328121,-1.58203037109375 53.43744062499999,-1.494139794921875 53.43744062499999,-1.494139794921875 53.393495361328121,-1.58203037109375 53.393495361328121))
POLYGON ((-1.494139794921875 53.393495361328121,-1.494139794921875 53.43744062499999,-1.40624921875 53.43744062499999,-1.40624921875 53.393495361328121,-1.494139794921875 53.393495361328121))
POLYGON ((-1.40624921875 52.734316406249995,-1.40624921875 52.9100974609375,-1.0546869140625 52.9100974609375,-1.0546869140625 52.734316406249995,-1.40624921875 52.734316406249995))
POLYGON ((-1.0546869140625 52.734316406249995,-1.0546869140625 52.9100974609375,-0.703124609375 52.9100974609375,-0.703124609375 52.734316406249995,-1.0546869140625 52.734316406249995))
POLYGON ((-1.40624921875 52.9100974609375,-1.40624921875 52.99798798828126,-1.23046806640625 52.99798798828126,-1.23046806640625 52.9100974609375,-1.40624921875 52.9100974609375))
POLYGON ((-1.23046806640625 52.9100974609375,-1.23046806640625 52.954042724609373,-1.142577490234375 52.954042724609373,-1.142577490234375 52.9100974609375,-1.23046806640625 52.9100974609375))
POLYGON ((-1.142577490234375 52.9100974609375,-1.142577490234375 52.954042724609373,-1.0546869140625 52.954042724609373,-1.0546869140625 52.9100974609375,-1.142577490234375 52.9100974609375))
POLYGON ((-1.23046806640625 52.954042724609373,-1.23046806640625 52.99798798828126,-1.142577490234375 52.99798798828126,-1.142577490234375 52.954042724609373,-1.23046806640625 52.954042724609373))
POLYGON ((-1.142577490234375 52.954042724609373,-1.142577490234375 52.99798798828126,-1.0546869140625 52.99798798828126,-1.0546869140625 52.954042724609373,-1.142577490234375 52.954042724609373))
POLYGON ((-1.40624921875 52.99798798828126,-1.40624921875 53.085878515625005,-1.23046806640625 53.085878515625005,-1.23046806640625 52.99798798828126,-1.40624921875 52.99798798828126))
POLYGON ((-1.23046806640625 52.99798798828126,-1.23046806640625 53.085878515625005,-1.0546869140625 53.085878515625005,-1.0546869140625 52.99798798828126,-1.23046806640625 52.99798798828126))
POLYGON ((-1.0546869140625 52.9100974609375,-1.0546869140625 53.085878515625005,-0.703124609375 53.085878515625005,-0.703124609375 52.9100974609375,-1.0546869140625 52.9100974609375))
POLYGON ((-0.703124609375 52.734316406249995,-0.703124609375 53.085878515625005,-0.0 53.085878515625005,-0.0 52.734316406249995,-0.703124609375 52.734316406249995))
POLYGON ((-1.40624921875 53.085878515625005,-1.40624921875 53.261659570312503,-1.0546869140625 53.261659570312503,-1.0546869140625 53.085878515625005,-1.40624921875 53.085878515625005))
POLYGON ((-1.0546869140625 53.085878515625005,-1.0546869140625 53.261659570312503,-0.703124609375 53.261659570312503,-0.703124609375 53.085878515625005,-1.0546869140625 53.085878515625005))
POLYGON ((-1.40624921875 53.261659570312503,-1.40624921875 53.43744062499999,-1.0546869140625 53.43744062499999,-1.0546869140625 53.261659570312503,-1.40624921875 53.261659570312503))
POLYGON ((-1.0546869140625 53.261659570312503,-1.0546869140625 53.43744062499999,-0.703124609375 53.43744062499999,-0.703124609375 53.261659570312503,-1.0546869140625 53.261659570312503))
POLYGON ((-0.703124609375 53.085878515625005,-0.703124609375 53.43744062499999,-0.0 53.43744062499999,-0.0 53.085878515625005,-0.703124609375 53.085878515625005))
POLYGON ((-11.24999375 53.43744062499999,-11.24999375 54.140564843749992,-9.843744531249998 54.140564843749992,-9.843744531249998 53.43744062499999,-11.24999375 53.43744062499999))
POLYGON ((-9.843744531249998 53.43744062499999,-9.843744531249998 53.789002734374989,-9.140619921875 53.789002734374989,-9.140619921875 53.43744062499999,-9.843744531249998 53.43744062499999))
POLYGON ((-9.140619921875 53.43744062499999,-9.140619921875 53.789002734374989,-8.437495312499999 53.789002734374989,-8.437495312499999 53.43744062499999,-9.140619921875 53.43744062499999))
POLYGON ((-9.843744531249998 53.789002734374989,-9.843744531249998 54.140564843749992,-9.140619921875 54.140564843749992,-9.140619921875 53.789002734374989,-9.843744531249998 53.789002734374989))
POLYGON ((-9.140619921875 53.789002734374989,-9.140619921875 54.140564843749992,-8.437495312499999 54.140564843749992,-8.437495312499999 53.789002734374989,-9.140619921875 53.789002734374989))
POLYGON ((-11.24999375 54.140564843749992,-11.24999375 54.843689062499983,-9.843744531249998 54.843689062499983,-9.843744531249998 54.140564843749992,-11.24999375 54.140564843749992))
POLYGON ((-9.843744531249998 54.140564843749992,-9.843744531249998 54.843689062499983,-8.437495312499999 54.843689062499983,-8.437495312499999 54.140564843749992,-9.843744531249998 54.140564843749992))
POLYGON ((-8.437495312499999 53.43744062499999,-8.437495312499999 53.789002734374989,-7.734370703124999 53.789002734374989,-7.734370703124999 53.43744062499999,-8.437495312499999 53.43744062499999))
POLYGON ((-7.734370703124999 53.43744062499999,-7.734370703124999 53.789002734374989,-7.03124609375 53.789002734374989,-7.03124609375 53.43744062499999,-7.734370703124999 53.43744062499999))
POLYGON ((-8.437495312499999 53.789002734374989,-8.437495312499999 54.140564843749985,-7.734370703124999 54.140564843749985,-7.734370703124999 53.789002734374989,-8.437495312499999 53.789002734374989))
POLYGON ((-7.734370703124999 53.789002734374989,-7.734370703124999 54.140564843749985,-7.03124609375 54.140564843749985,-7.03124609375 53.789002734374989,-7.734370703124999 53.789002734374989))
POLYGON ((-7.03124609375 53.43744062499999,-7.03124609375 53.789002734374996,-6.328121484375 53.789002734374996,-6.328121484375 53.43744062499999,-7.03124609375 53.43744062499999))
POLYGON ((-6.328121484375 53.43744062499999,-6.328121484375 53.789002734374996,-5.624996875 53.789002734374996,-5.624996875 53.43744062499999,-6.328121484375 53.43744062499999))
POLYGON ((-7.03124609375 53.789002734374996,-7.03124609375 54.140564843749985,-6.328121484375 54.140564843749985,-6.328121484375 53.789002734374996,-7.03124609375 53.789002734374996))
POLYGON ((-6.328121484375 53.789002734374996,-6.328121484375 54.140564843749985,-5.624996875 54.140564843749985,-5.624996875 53.789002734374996,-6.328121484375 53.789002734374996))
POLYGON ((-8.437495312499999 54.140564843749985,-8.437495312499999 54.492126953124973,-7.734370703125 54.492126953124973,-7.734370703125 54.140564843749985,-8.437495312499999 54.140564843749985))
POLYGON ((-7.734370703125 54.140564843749985,-7.734370703125 54.316345898437476,-7.382808398437501 54.316345898437476,-7.382808398437501 54.140564843749985,-7.734370703125 54.140564843749985))
POLYGON ((-7.382808398437501 54.140564843749985,-7.382808398437501 54.316345898437476,-7.03124609375 54.316345898437476,-7.03124609375 54.140564843749985,-7.382808398437501 54.140564843749985))
POLYGON ((-7.734370703125 54.316345898437476,-7.734370703125 54.492126953124973,-7.382808398437501 54.492126953124973,-7.382808398437501 54.316345898437476,-7.734370703125 54.316345898437476))
POLYGON ((-7.382808398437501 54.316345898437476,-7.382808398437501 54.492126953124973,-7.03124609375 54.492126953124973,-7.03124609375 54.316345898437476,-7.382808398437501 54.316345898437476))
POLYGON ((-8.437495312499999 54.492126953124973,-8.437495312499999 54.843689062499983,-7.734370703125 54.843689062499983,-7.734370703125 54.492126953124973,-8.437495312499999 54.492126953124973))
POLYGON ((-7.734370703125 54.492126953124973,-7.734370703125 54.667908007812485,-7.3828083984375 54.667908007812485,-7.3828083984375 54.492126953124973,-7.734370703125 54.492126953124973))
POLYGON ((-7.3828083984375 54.492126953124973,-7.3828083984375 54.667908007812485,-7.03124609375 54.667908007812485,-7.03124609375 54.492126953124973,-7.3828083984375 54.492126953124973))
POLYGON ((-7.734370703125 54.667908007812485,-7.734370703125 54.843689062499983,-7.3828083984375 54.843689062499983,-7.3828083984375 54.667908007812485,-7.734370703125 54.667908007812485))
POLYGON ((-7.3828083984375 54.667908007812485,-7.3828083984375 54.843689062499983,-7.03124609375 54.843689062499983,-7.03124609375 54.667908007812485,-7.3828083984375 54.667908007812485))
POLYGON ((-7.03124609375 54.140564843749985,-7.03124609375 54.316345898437483,-6.679683789062501 54.316345898437483,-6.679683789062501 54.140564843749985,-7.03124609375 54.140564843749985))
POLYGON ((-6.679683789062501 54.140564843749985,-6.679683789062501 54.316345898437483,-6.328121484375 54.316345898437483,-6.328121484375 54.140564843749985,-6.679683789062501 54.140564843749985))
POLYGON ((-7.03124609375 54.316345898437483,-7.03124609375 54.492126953124981,-6.679683789062501 54.492126953124981,-6.679683789062501 54.316345898437483,-7.03124609375 54.316345898437483))
POLYGON ((-6.679683789062501 54.316345898437483,-6.679683789062501 54.492126953124981,-6.328121484375 54.492126953124981,-6.328121484375 54.316345898437483,-6.679683789062501 54.316345898437483))
POLYGON ((-6.328121484375 54.140564843749985,-6.328121484375 54.316345898437483,-5.976559179687499 54.316345898437483,-5.976559179687499 54.140564843749985,-6.328121484375 54.140564843749985))
POLYGON ((-5.976559179687499 54.140564843749985,-5.976559179687499 54.316345898437483,-5.624996875 54.316345898437483,-5.624996875 54.140564843749985,-5.976559179687499 54.140564843749985))
POLYGON ((-6.328121484375 54.316345898437483,-6.328121484375 54.492126953124981,-5.976559179687499 54.492126953124981,-5.976559179687499 54.316345898437483,-6.328121484375 54.316345898437483))
POLYGON ((-5.976559179687499 54.316345898437483,-5.976559179687499 54.492126953124981,-5.624996875 54.492126953124981,-5.624996875 54.316345898437483,-5.976559179687499 54.316345898437483))
POLYGON ((-7.03124609375 54.492126953124981,-7.03124609375 54.667908007812478,-6.6796837890625 54.667908007812478,-6.6796837890625 54.492126953124981,-7.03124609375 54.492126953124981))
POLYGON ((-6.6796837890625 54.492126953124981,-6.6796837890625 54.667908007812478,-6.328121484375 54.667908007812478,-6.328121484375 54.492126953124981,-6.6796837890625 54.492126953124981))
POLYGON ((-7.03124609375 54.667908007812478,-7.03124609375 54.843689062499983,-6.6796837890625 54.843689062499983,-6.6796837890625 54.667908007812478,-7.03124609375 54.667908007812478))
POLYGON ((-6.6796837890625 54.667908007812478,-6.6796837890625 54.843689062499983,-6.328121484375 54.843689062499983,-6.328121484375 54.667908007812478,-6.6796837890625 54.667908007812478))
POLYGON ((-6.328121484375 54.492126953124981,-6.328121484375 54.667908007812485,-5.9765591796875 54.667908007812485,-5.9765591796875 54.492126953124981,-6.328121484375 54.492126953124981))
POLYGON ((-5.9765591796875 54.492126953124981,-5.9765591796875 54.580017480468726,-5.800778027343749 54.580017480468726,-5.800778027343749 54.492126953124981,-5.9765591796875 54.492126953124981))
POLYGON ((-5.800778027343749 54.492126953124981,-5.800778027343749 54.580017480468726,-5.624996875 54.580017480468726,-5.624996875 54.492126953124981,-5.800778027343749 54.492126953124981))
POLYGON ((-5.9765591796875 54.580017480468726,-5.9765591796875 54.667908007812485,-5.800778027343749 54.667908007812485,-5.800778027343749 54.580017480468726,-5.9765591796875 54.580017480468726))
POLYGON ((-5.800778027343749 54.580017480468726,-5.800778027343749 54.667908007812485,-5.624996875 54.667908007812485,-5.624996875 54.580017480468726,-5.800778027343749 54.580017480468726))
POLYGON ((-6.328121484375 54.667908007812485,-6.328121484375 54.843689062499983,-5.9765591796875 54.843689062499983,-5.9765591796875 54.667908007812485,-6.328121484375 54.667908007812485))
POLYGON ((-5.9765591796875 54.667908007812485,-5.9765591796875 54.843689062499983,-5.624996875 54.843689062499983,-5.624996875 54.667908007812485,-5.9765591796875 54.667908007812485))
POLYGON ((-11.24999375 54.843689062499983,-11.24999375 56.2499375,-8.437495312499999 56.2499375,-8.437495312499999 54.843689062499983,-11.24999375 54.843689062499983))
POLYGON ((-8.437495312499999 54.843689062499983,-8.437495312499999 55.195251171874993,-7.734370703124998 55.195251171874993,-7.734370703124998 54.843689062499983,-8.437495312499999 54.843689062499983))
POLYGON ((-7.734370703124998 54.843689062499983,-7.734370703124998 55.019470117187488,-7.382808398437499 55.019470117187488,-7.382808398437499 54.843689062499983,-7.734370703124998 54.843689062499983))
POLYGON ((-7.382808398437499 54.843689062499983,-7.382808398437499 54.931579589843743,-7.207027246093749 54.931579589843743,-7.207027246093749 54.843689062499983,-7.382808398437499 54.843689062499983))
POLYGON ((-7.207027246093749 54.843689062499983,-7.207027246093749 54.931579589843743,-7.031246093749998 54.931579589843743,-7.031246093749998 54.843689062499983,-7.207027246093749 54.843689062499983))
POLYGON ((-7.382808398437499 54.931579589843743,-7.382808398437499 55.019470117187488,-7.207027246093749 55.019470117187488,-7.207027246093749 54.931579589843743,-7.382808398437499 54.931579589843743))
POLYGON ((-7.207027246093749 54.931579589843743,-7.207027246093749 55.019470117187488,-7.031246093749998 55.019470117187488,-7.031246093749998 54.931579589843743,-7.207027246093749 54.931579589843743))
POLYGON ((-7.734370703124998 55.019470117187488,-7.734370703124998 55.195251171874993,-7.382808398437499 55.195251171874993,-7.382808398437499 55.019470117187488,-7.734370703124998 55.019470117187488))
POLYGON ((-7.382808398437499 55.019470117187488,-7.382808398437499 55.195251171874993,-7.031246093749998 55.195251171874993,-7.031246093749998 55.019470117187488,-7.382808398437499 55.019470117187488))
POLYGON ((-8.437495312499999 55.195251171874993,-8.437495312499999 55.546813281249989,-7.734370703124998 55.546813281249989,-7.734370703124998 55.195251171874993,-8.437495312499999 55.195251171874993))
POLYGON ((-7.734370703124998 55.195251171874993,-7.734370703124998 55.546813281249989,-7.031246093749998 55.546813281249989,-7.031246093749998 55.195251171874993,-7.734370703124998 55.195251171874993))
POLYGON ((-7.031246093749998 54.843689062499983,-7.031246093749998 55.019470117187481,-6.679683789062499 55.019470117187481,-6.679683789062499 54.843689062499983,-7.031246093749998 54.843689062499983))
POLYGON ((-6.679683789062499 54.843689062499983,-6.679683789062499 55.019470117187481,-6.328121484374999 55.019470117187481,-6.328121484374999 54.843689062499983,-6.679683789062499 54.843689062499983))
POLYGON ((-7.031246093749998 55.019470117187481,-7.031246093749998 55.195251171874986,-6.679683789062499 55.195251171874986,-6.679683789062499 55.019470117187481,-7.031246093749998 55.019470117187481))
POLYGON ((-6.679683789062499 55.019470117187481,-6.679683789062499 55.195251171874986,-6.328121484374999 55.195251171874986,-6.328121484374999 55.019470117187481,-6.679683789062499 55.019470117187481))
POLYGON ((-6.328121484374999 54.843689062499983,-6.328121484374999 55.195251171874986,-5.624996875 55.195251171874986,-5.624996875 54.843689062499983,-6.328121484374999 54.843689062499983))
POLYGON ((-7.031246093749998 55.195251171874986,-7.031246093749998 55.546813281249989,-6.328121484374999 55.546813281249989,-6.328121484374999 55.195251171874986,-7.031246093749998 55.195251171874986))
POLYGON ((-6.328121484374999 55.195251171874986,-6.328121484374999 55.546813281249989,-5.624996875 55.546813281249989,-5.624996875 55.195251171874986,-6.328121484374999 55.195251171874986))
POLYGON ((-8.437495312499999 55.546813281249989,-8.437495312499999 56.2499375,-7.031246093749998 56.2499375,-7.031246093749998 55.546813281249989,-8.437495312499999 55.546813281249989))
POLYGON ((-7.031246093749998 55.546813281249989,-7.031246093749998 56.2499375,-5.624996875 56.2499375,-5.624996875 55.546813281249989,-7.031246093749998 55.546813281249989))
POLYGON ((-5.624996875 53.43744062499999,-5.624996875 54.140564843749978,-4.21874765625 54.140564843749978,-4.21874765625 53.43744062499999,-5.624996875 53.43744062499999))
POLYGON ((-4.21874765625 53.43744062499999,-4.21874765625 53.789002734374989,-3.515623046875 53.789002734374989,-3.515623046875 53.43744062499999,-4.21874765625 53.43744062499999))
POLYGON ((-3.515623046875 53.43744062499999,-3.515623046875 53.789002734374989,-2.8124984375 53.789002734374989,-2.8124984375 53.43744062499999,-3.515623046875 53.43744062499999))
POLYGON ((-4.21874765625 53.789002734374989,-4.21874765625 54.140564843749978,-3.515623046875 54.140564843749978,-3.515623046875 53.789002734374989,-4.21874765625 53.789002734374989))
POLYGON ((-3.515623046875 53.789002734374989,-3.515623046875 53.964783789062487,-3.1640607421875 53.964783789062487,-3.1640607421875 53.789002734374989,-3.515623046875 53.789002734374989))
POLYGON ((-3.1640607421875 53.789002734374989,-3.1640607421875 53.832947998046855,-3.076170166015625 53.832947998046855,-3.076170166015625 53.789002734374989,-3.1640607421875 53.789002734374989))
POLYGON ((-3.076170166015625 53.789002734374989,-3.076170166015625 53.810975366210926,-3.032224877929687 53.810975366210926,-3.032224877929687 53.789002734374989,-3.076170166015625 53.789002734374989))
POLYGON ((-3.032224877929687 53.789002734374989,-3.032224877929687 53.810975366210926,-2.988279589843749 53.810975366210926,-2.988279589843749 53.789002734374989,-3.032224877929687 53.789002734374989))
POLYGON ((-3.076170166015625 53.810975366210926,-3.076170166015625 53.832947998046855,-3.032224877929687 53.832947998046855,-3.032224877929687 53.810975366210926,-3.076170166015625 53.810975366210926))
POLYGON ((-3.032224877929687 53.810975366210926,-3.032224877929687 53.832947998046855,-2.988279589843749 53.832947998046855,-2.988279589843749 53.810975366210926,-3.032224877929687 53.810975366210926))
POLYGON ((-3.1640607421875 53.832947998046855,-3.1640607421875 53.876893261718742,-3.076170166015625 53.876893261718742,-3.076170166015625 53.832947998046855,-3.1640607421875 53.832947998046855))
POLYGON ((-3.076170166015625 53.832947998046855,-3.076170166015625 53.876893261718742,-2.988279589843749 53.876893261718742,-2.988279589843749 53.832947998046855,-3.076170166015625 53.832947998046855))
POLYGON ((-2.988279589843749 53.789002734374989,-2.988279589843749 53.876893261718742,-2.8124984375 53.876893261718742,-2.8124984375 53.789002734374989,-2.988279589843749 53.789002734374989))
POLYGON ((-3.1640607421875 53.876893261718742,-3.1640607421875 53.964783789062487,-2.988279589843749 53.964783789062487,-2.988279589843749 53.876893261718742,-3.1640607421875 53.876893261718742))
POLYGON ((-2.988279589843749 53.876893261718742,-2.988279589843749 53.964783789062487,-2.8124984375 53.964783789062487,-2.8124984375 53.876893261718742,-2.988279589843749 53.876893261718742))
POLYGON ((-3.515623046875 53.964783789062487,-3.515623046875 54.140564843749978,-3.1640607421875 54.140564843749978,-3.1640607421875 53.964783789062487,-3.515623046875 53.964783789062487))
POLYGON ((-3.1640607421875 53.964783789062487,-3.1640607421875 54.140564843749978,-2.8124984375 54.140564843749978,-2.8124984375 53.964783789062487,-3.1640607421875 53.964783789062487))
POLYGON ((-5.624996875 54.140564843749978,-5.624996875 54.843689062499983,-4.21874765625 54.843689062499983,-4.21874765625 54.140564843749978,-5.624996875 54.140564843749978))
POLYGON ((-4.21874765625 54.140564843749978,-4.21874765625 54.492126953124981,-3.515623046874999 54.492126953124981,-3.515623046874999 54.140564843749978,-4.21874765625 54.140564843749978))
POLYGON ((-3.515623046874999 54.140564843749978,-3.515623046874999 54.492126953124981,-2.8124984375 54.492126953124981,-2.8124984375 54.140564843749978,-3.515623046874999 54.140564843749978))
POLYGON ((-4.21874765625 54.492126953124981,-4.21874765625 54.843689062499983,-3.515623046874999 54.843689062499983,-3.515623046874999 54.492126953124981,-4.21874765625 54.492126953124981))
POLYGON ((-3.515623046874999 54.492126953124981,-3.515623046874999 54.843689062499983,-2.8124984375 54.843689062499983,-2.8124984375 54.492126953124981,-3.515623046874999 54.492126953124981))
POLYGON ((-2.8124984375 53.43744062499999,-2.8124984375 53.613221679687499,-2.460936132812499 53.613221679687499,-2.460936132812499 53.43744062499999,-2.8124984375 53.43744062499999))
POLYGON ((-2.460936132812499 53.43744062499999,-2.460936132812499 53.525331152343753,-2.28515498046875 53.525331152343753,-2.28515498046875 53.43744062499999,-2.460936132812499 53.43744062499999))
POLYGON ((-2.28515498046875 53.43744062499999,-2.28515498046875 53.481385888671873,-2.197264404296875 53.481385888671873,-2.197264404296875 53.43744062499999,-2.28515498046875 53.43744062499999))
POLYGON ((-2.197264404296875 53.43744062499999,-2.197264404296875 53.481385888671873,-2.109373828125 53.481385888671873,-2.109373828125 53.43744062499999,-2.197264404296875 53.43744062499999))
POLYGON ((-2.28515498046875 53.481385888671873,-2.28515498046875 53.525331152343753,-2.197264404296875 53.525331152343753,-2.197264404296875 53.481385888671873,-2.28515498046875 53.481385888671873))
POLYGON ((-2.197264404296875 53.481385888671873,-2.197264404296875 53.525331152343753,-2.109373828125 53.525331152343753,-2.109373828125 53.481385888671873,-2.197264404296875 53.481385888671873))
POLYGON ((-2.460936132812499 53.525331152343753,-2.460936132812499 53.613221679687499,-2.28515498046875 53.613221679687499,-2.28515498046875 53.525331152343753,-2.460936132812499 53.525331152343753))
POLYGON ((-2.28515498046875 53.525331152343753,-2.28515498046875 53.613221679687499,-2.109373828125 53.613221679687499,-2.109373828125 53.525331152343753,-2.28515498046875 53.525331152343753))
POLYGON ((-2.8124984375 53.613221679687499,-2.8124984375 53.701112207031244,-2.636717285156249 53.701112207031244,-2.636717285156249 53.613221679687499,-2.8124984375 53.613221679687499))
POLYGON ((-2.636717285156249 53.613221679687499,-2.636717285156249 53.701112207031244,-2.460936132812499 53.701112207031244,-2.460936132812499 53.613221679687499,-2.636717285156249 53.613221679687499))
POLYGON ((-2.8124984375 53.701112207031244,-2.8124984375 53.745057470703124,-2.724607861328125 53.745057470703124,-2.724607861328125 53.701112207031244,-2.8124984375 53.701112207031244))
POLYGON ((-2.724607861328125 53.701112207031244,-2.724607861328125 53.745057470703124,-2.636717285156249 53.745057470703124,-2.636717285156249 53.701112207031244,-2.724607861328125 53.701112207031244))
POLYGON ((-2.8124984375 53.745057470703124,-2.8124984375 53.789002734374996,-2.724607861328125 53.789002734374996,-2.724607861328125 53.745057470703124,-2.8124984375 53.745057470703124))
POLYGON ((-2.724607861328125 53.745057470703124,-2.724607861328125 53.767030102539053,-2.680662573242187 53.767030102539053,-2.680662573242187 53.745057470703124,-2.724607861328125 53.745057470703124))
POLYGON ((-2.680662573242187 53.745057470703124,-2.680662573242187 53.767030102539053,-2.636717285156249 53.767030102539053,-2.636717285156249 53.745057470703124,-2.680662573242187 53.745057470703124))
POLYGON ((-2.724607861328125 53.767030102539053,-2.724607861328125 53.789002734374996,-2.680662573242187 53.789002734374996,-2.680662573242187 53.767030102539053,-2.724607861328125 53.767030102539053))
POLYGON ((-2.680662573242187 53.767030102539053,-2.680662573242187 53.789002734374996,-2.636717285156249 53.789002734374996,-2.636717285156249 53.767030102539053,-2.680662573242187 53.767030102539053))
